
Trackpoint	59 00.868 6 25.569	04/08/2011 05:37:06 	5 m			7 m	0:00:05	5 kph	254° true
Trackpoint	59 00.867 6 25.563	04/08/2011 05:37:11 	4 m			6 m	0:00:05	5 kph	256° true
Trackpoint	59 00.867 6 25.556	04/08/2011 05:37:16 	5 m			6 m	0:00:05	5 kph	263° true
Trackpoint	59 00.867 6 25.555	04/08/2011 05:37:21 	5 m			1 m	0:00:05	0.7 kph	270° true
Trackpoint	59 00.867 6 25.555	04/08/2011 05:37:26 	5 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.867 6 25.555	04/08/2011 05:37:31 	5 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.867 6 25.555	04/08/2011 05:37:36 	5 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.867 6 25.555	04/08/2011 05:37:41 	5 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.870 6 25.541	04/08/2011 05:37:46 	12 m			14 m	0:00:05	10 kph	290° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:37:51 	12 m			2 m	0:00:05	2 kph	245° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:37:56 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:01 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:06 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:11 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:16 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:21 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:26 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:31 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:36 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:41 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:46 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:51 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:38:56 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:01 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:06 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:11 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:16 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:21 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:26 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:31 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:36 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:41 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:46 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:51 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:39:56 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:01 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:06 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:11 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:16 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:21 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:26 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:31 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:36 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:41 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:46 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:51 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:40:56 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:41:01 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:41:06 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:41:11 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:41:16 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:41:21 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:41:26 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.869 6 25.539	04/08/2011 05:41:31 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.506	04/08/2011 05:41:36 	8 m			35 m	0:00:05	25 kph	244° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:41:41 	9 m			6 m	0:00:05	4 kph	267° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:41:46 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:41:51 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:41:56 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:01 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:06 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:11 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:16 	9 m			0 m	0:00:05	0 kph	0° true
