
Trackpoint	58 58.281 5 47.826	03/08/2011 14:36:07 	0 m			24 m	0:00:02	43 kph	98° true
Trackpoint	58 58.279 5 47.851	03/08/2011 14:36:09 	0 m			24 m	0:00:02	43 kph	98° true
Trackpoint	58 58.277 5 47.875	03/08/2011 14:36:11 	0 m			24 m	0:00:02	42 kph	99° true
Trackpoint	58 58.275 5 47.900	03/08/2011 14:36:13 	0 m			24 m	0:00:02	43 kph	99° true
Trackpoint	58 58.271 5 47.937	03/08/2011 14:36:16 	0 m			36 m	0:00:03	43 kph	100° true
Trackpoint	58 58.268 5 47.974	03/08/2011 14:36:19 	0 m			36 m	0:00:03	44 kph	99° true
Trackpoint	58 58.266 5 47.999	03/08/2011 14:36:21 	0 m			24 m	0:00:02	43 kph	98° true
Trackpoint	58 58.265 5 48.025	03/08/2011 14:36:23 	0 m			24 m	0:00:02	44 kph	97° true
Trackpoint	58 58.262 5 48.063	03/08/2011 14:36:26 	0 m			37 m	0:00:03	44 kph	97° true
Trackpoint	58 58.259 5 48.101	03/08/2011 14:36:29 	0 m			37 m	0:00:03	45 kph	99° true
Trackpoint	58 58.257 5 48.126	03/08/2011 14:36:31 	0 m			24 m	0:00:02	42 kph	99° true
Trackpoint	58 58.256 5 48.150	03/08/2011 14:36:33 	0 m			23 m	0:00:02	42 kph	97° true
Trackpoint	58 58.254 5 48.174	03/08/2011 14:36:35 	0 m			23 m	0:00:02	42 kph	97° true
Trackpoint	58 58.252 5 48.210	03/08/2011 14:36:38 	0 m			35 m	0:00:03	42 kph	97° true
Trackpoint	58 58.249 5 48.247	03/08/2011 14:36:41 	0 m			36 m	0:00:03	43 kph	97° true
Trackpoint	58 58.247 5 48.286	03/08/2011 14:36:44 	0 m			37 m	0:00:03	45 kph	97° true
Trackpoint	58 58.245 5 48.323	03/08/2011 14:36:47 	0 m			36 m	0:00:03	43 kph	96° true
